code;first_letter
11550;C0A0A4A2
11551;C0A0A4A3
11560;C0A0A4A4
11531;C0A0A5
11557;C0A0A6
11504;C0A0A7
11592;C0A0A8
11511;C0A0A9
11534;C0A0B0
11536;C0A0B0A0
11538;C0A0B0A0A0
11528;C0A0B0A0A1
11532;C0A0B0A1
11521;C0A0B0A2
11512;C0A0B0A3
11501;C0A0B0A3A0
11503;C0A0B0A3A1
11510;C0A0B0A3A2
11502;C0A0B1
11523;C0A0B1A0
11518;C0A0B1A1
11519;C0A0B1A1A0
11520;C0A0B1A1A1
11522;C0A0B1A2
11508;C0A0B1A3
11514;C0A0B1A4
11506;C0A0B1A4A0
11515;C0A0B1A4A1
11516;C0A0B1A4A2
11524;C0A0B1A5
11509;C0A0B1A6
11513;C0A0B1A6A0
11526;C0A0B1A6A1
11525;C0A0B1A6A2
11541;C0A0B2
11530;C0A0B2A0
11547;C0A0B3
11567;C0A0B4
11569;C0A0B4A0
11559;C0A0B4A1
11054;C0A1
11076;C0A1A0
11097;C0A1A0A0
11085;C0A1A0A1
11095;C0A1A0A1A0
11094;C0A1A0A1A1
11014;C0A1A1
11071;C0A1A2
11082;C0A1A2A0
11080;C0A1A2A1
11091;C0A1A2A2
11025;C0A1A3
11067;C0A1A4
11069;C0A1A4A0
11058;C0A1A5
11052;C0A1A6
11040;C0A1A6A0
11050;C0A1A6A1
11033;C0A1A7
11022;C0A1A7A0
11002;C0A1A7A0A0
11001;C0A1A7A0A1
11083;C0A1A8
11031;C0A1A9
11020;C0A1A9A0
11036;C0A1B0
11018;C0A1B0A0
11037;C0A1B0A1
11029;C0A1B0A2
11017;C0A1B0A3
11045;C0A1B0A4
11016;C0A1B0A4A0
11006;C0A1B0A4A0A0
11038;C0A1B0A5
11057;C0A1B0A5A0
11007;C0A1B0A5A0A0
23554;C0A2
23585;C0A2A0
23542;C0A2A1
23530;C0A2A1A0
23521;C0A2A1A1
23594;C0A2A1A1A0
23551;C0A2A1A2
23581;C0A2A1A2A0
23570;C0A2A1A2A1
23523;C0A2A1A3
23512;C0A2A1A3A0
23583;C0A2A2
23546;C0A2A3
23567;C0A2A3A0
23576;C0A2A3A0A0
23587;C0A2A3A0A1
23569;C0A2A3A0A2
23589;C0A2A3A0A3
23598;C0A2A3A0A4
23518;C0A2A3A1
23525;C0A2A3A2
23539;C0A2A3A3
23506;C0A2A3A4
23529;C0A2A3A5
23556;C0A2A3A6
23517;C0A2A3A7
23549;C0A2A3A8
23534;C0A2A4
11454;C0A3
11474;C0A3A0
11494;C0A3A0A0
11413;C0A3A1
11466;C0A3A2
11477;C0A3A2A0
11457;C0A3A2A1
11467;C0A3A2A2
11479;C0A3A2A2A0
11489;C0A3A2A2A0A0
11469;C0A3A2A2A1
11472;C0A3A3
11481;C0A3A3A0
11414;C0A3A4
11404;C0A3A5
11406;C0A3A6
11403;C0A3A7
11436;C0A3A8
11428;C0A3A8A0
11438;C0A3A8A1
11448;C0A3A8A2
11449;C0A3A8A2A0
11483;C0A3A9
11475;C0A3B0
11486;C0A3B0A0
11497;C0A3B0A0A0
11452;C0A3B1
11450;C0A3B1A0
11461;C0A3B1A1
11470;C0A3B1A1A0
11421;C0A3B2
12254;C0A4
12252;C0A4A0
12232;C0A4A0A0
12273;C0A4A0A1
12250;C0A4A0A2
12261;C0A4A0A3
12270;C0A4A0A3A0
12241;C0A4A0A4
12281;C0A4A0A5
12275;C0A4A1
12296;C0A4A1A0
12269;C0A4A1A1
12288;C0A4A1A2
12297;C0A4A1A3
12256;C0A4A1A4
12248;C0A4A1A4A0
12237;C0A4A1A4A1
12227;C0A4A1A4A2
12279;C0A4A1A5
12212;C0A4A1A6
12298;C0A4A1A7
12295;C0A4A1A8
12233;C0A4A2
12225;C0A4A3
12205;C0A4A3A0
12207;C0A4A3A1
12054;C0A5
12046;C0A5A0
12028;C0A5A0A0
12008;C0A5A0A1
12058;C0A5A0A2
12069;C0A5A0A2A0
12059;C0A5A0A2A1
12039;C0A5A0A3
12089;C0A5A0A4
12079;C0A5A0A5
12017;C0A5A0A6
12049;C0A5A0A7
12007;C0A5A0A8
12086;C0A5A0A9
12026;C0A5A0B0
12015;C0A5A0B0A0
12005;C0A5A0B0A1
12006;C0A5A0B0A2
12036;C0A5A0B1
12035;C0A5A0B2
12087;C0A5A0B3
12075;C0A5A0B4
12065;C0A5A0B5
12061;C0A5A1
12067;C0A5A2
12081;C0A5A3
12023;C0A5A4
12003;C0A5A4A0
12002;C0A5A4A1
12051;C0A5A5
12083;C0A5A6
12032;C0A5A7
12030;C0A5A7A0
12040;C0A5A7A1
12041;C0A5A7A2
12021;C0A5A7A3
12010;C0A5A7A3A0
45054;D0A0
45027;D0A0A0
45019;D0A0A0A0
45015;D0A0A0A1
45009;D0A0A0A2
45018;D0A0A0A2A0
45006;D0A0A0A3
45066;D0A0A1
45058;D0A0A1A0
45057;D0A0A1A1
45059;D0A0A1A1A0
45048;D0A0A1A1A1
45079;D0A0A1A2
45089;D0A0A1A3
45069;D0A0A1A4
45098;D0A0A1A5
45099;D0A0A1A5A0
45076;D0A0A1A6
45096;D0A0A1A6A0
45097;D0A0A1A6A1
45004;D0A0A2
45022;D0A0A2A0
45013;D0A0A2A0A0
45016;D0A0A2A1
45020;D0A0A2A2
45010;D0A0A2A3
45001;D0A0A2A4
45002;D0A0A2A5
45052;D0A0A2A6
45034;D0A0A2A7
45042;D0A0A2A8
45040;D0A0A2A8A0
45050;D0A0A2A8A1
45060;D0A0A2A8A2
45062;D0A0A2A8A2A0
45063;D0A0A2A8A2A1
45061;D0A0A2A8A2A2
45011;D0A0A2A8A3
45083;D0A0A3
45093;D0A0A3A0
45075;D0A0A4
45071;D0A0A5
45080;D0A0A5A0
45090;D0A0A5A1
45091;D0A0A5A2
45085;D0A0A6
45012;D0A0A7
45073;D0A0A8
45072;D0A0A8A0
45094;D0A0A8A1
45082;D0A0A8A2
45038;D0A0A9
45554;D0A1
45529;D0A1A0
45508;D0A1A0A0
45519;D0A1A0A1
45509;D0A1A0A2
45507;D0A1A0A3
45599;D0A1A1
45571;D0A1A2
45597;D0A1A3
45586;D0A1A3A0
45587;D0A1A3A1
45531;D0A1A4
45520;D0A1A4A0
45539;D0A1A5
45540;D0A1A6
45582;D0A1A7
45591;D0A1A7A0
45598;D0A1A8
45514;D0A1A9
45517;D0A1B0
45585;D0A1B1
45583;D0A1B2
45592;D0A1B2A0
45595;D0A1B2A1
45558;D0A1B3
45549;D0A1B4
45548;D0A1B4A0
45513;D0A1B5
45515;D0A1B6
45501;D0A1B7
45516;D0A1B8
45594;D0A1B9
45577;D0A1C0
45502;D0A1C1
45510;D0A1C1A0
45506;D0A1C1A1
45505;D0A1C1A2
45523;D0A1C2
45512;D0A1C2A0
45503;D0A1C2A1
45511;D0A1C3
45504;D0A1C4
45560;D0A1C5
45518;D0A1C6
45521;D0A1C6A0
45567;D0A1C7
45579;D0A1C7A0
46254;D0A2
46280;D0A2A0
